invoiceid;branch;city;customer type;product category;product name;unit price;quantity;tax;total;date;time;payment;cogs;gross margin percentage;gross income;rating
INV-001228;A;Araraquara;Não Filiada;Gripe e Tosse;Naldecon Noite 4 comprimidos - Reckitt;16.76;1;9.5;16.76;2026-06-09;19:54:01;Pix;11.93;28.82;4.83;4.0
INV-001229;A;Bauru;Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;13.8;1;10.2;13.8;2026-08-12;21:18:44;Cartão de Crédito;8.86;35.8;4.94;4.8
INV-001230;A;Jaú;Não Filiada;Analgésicos;Dorflex 30 comprimidos - Sanofi;32.21;1;11.3;32.21;2026-07-08;16:02:44;Cartão de Crédito;24.24;24.74;7.97;3.5
INV-001231;A;Jaú;Não Filiada;Antibióticos;Azitromicina 500mg 5 comprimidos - Medley;25.4;1;6.0;25.4;2026-06-10;16:03:58;Cartão de Crédito;14.17;44.21;11.23;5.0
INV-001232;A;Jaú;Filiada;Analgésicos;Paracetamol 750mg 20 comprimidos - EMS;10.56;2;7.5;21.12;2026-06-28;16:04:33;Dinheiro;13.3;37.03;7.82;3.9
INV-001233;A;Jaú;Não Filiada;Gripe e Tosse;Cimegripe Dia e Noite 8 cápsulas - Cimed;10.06;1;4.5;10.06;2026-07-25;15:32:16;Cartão de Débito;6.74;33.0;3.32;4.1
INV-001234;A;Jaú;Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;10.7;1;7.5;10.7;2026-07-14;20:05:27;Pix;6.96;34.95;3.74;5.0
INV-001235;C;São Carlos;Filiada;Gastrointestinais;Simeticona 40mg 20 comprimidos - Cimed;7.43;3;7.5;22.29;2026-08-06;18:54:17;Cartão de Crédito;16.6;25.53;5.69;4.6
INV-001236;C;São Carlos;Não Filiada;Gastrointestinais;Eno 100g - Haleon;17.13;1;7.5;17.13;2026-07-26;21:48:13;Cartão de Crédito;11.81;31.06;5.32;4.0
INV-001237;B;Araraquara;Não Filiada;Cardiovasculares;Losartana 50mg 30 comprimidos - Medley;11.31;2;6.0;22.62;2026-07-26;14:18:02;Pix;12.06;46.68;10.56;4.5
INV-001238;A;São Carlos;Filiada;Gripe e Tosse;Naldecon Noite 4 comprimidos - Reckitt;15.67;1;5.2;15.67;2026-07-07;10:28:10;Cartão de Crédito;9.11;41.86;6.56;4.8
INV-001239;A;Jaú;Não Filiada;Analgésicos;Paracetamol 750mg 20 comprimidos - EMS;14.09;1;9.5;14.09;2026-06-20;18:28:51;Pix;8.99;36.2;5.1;4.5
INV-001240;A;Bauru;Filiada;Analgésicos;Dorflex 30 comprimidos - Sanofi;27.45;1;5.2;27.45;2026-07-18;12:02:38;Pix;19.61;28.56;7.84;4.3
INV-001241;A;Jaú;Filiada;Cardiovasculares;Losartana 50mg 30 comprimidos - EMS;16.43;4;11.3;65.72;2026-07-04;16:26:47;Cartão de Crédito;40.57;38.27;25.15;4.9
INV-001242;B;Jaú;Não Filiada;Dermatológicos;Nebacetin 15g - Johnson & Johnson;12.25;1;12.5;12.25;2026-08-01;14:32:30;Pix;6.86;44.0;5.39;4.7
INV-001243;A;Jaú;Filiada;Gripe e Tosse;Naldecon Dia 4 comprimidos - Reckitt;11.28;1;12.5;11.28;2026-06-25;16:53:33;Dinheiro;8.38;25.71;2.9;4.8
INV-001244;A;Araraquara;Não Filiada;Antibióticos;Amoxicilina 500mg 21 cápsulas - Eurofarma;37.42;1;6.0;37.42;2026-05-18;17:03:45;Cartão de Crédito;23.22;37.95;14.2;4.0
INV-001245;B;Jaú;Não Filiada;Antialérgicos;Levocetirizina 5mg 10 comprimidos - Eurofarma;21.06;3;4.5;63.18;2026-05-14;14:02:39;Cartão de Débito;42.04;33.46;21.14;4.7
INV-001246;A;São Carlos;Não Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;16.85;4;10.2;67.4;2026-06-07;11:34:38;Pix;37.65;44.14;29.75;5.0
INV-001247;A;Jaú;Não Filiada;Analgésicos;Dorflex 30 comprimidos - Sanofi;30.83;1;9.5;30.83;2026-07-14;13:06:47;Pix;18.88;38.76;11.95;5.0
INV-001248;A;Araraquara;Não Filiada;Analgésicos;Ibuprofeno 600mg 20 comprimidos - Medley;14.76;1;6.0;14.76;2026-07-25;14:20:53;Cartão de Crédito;8.37;43.29;6.39;3.9
INV-001249;A;São Carlos;Filiada;Vitaminas e Suplementos;Centrum Adultos 30 comprimidos - Haleon;49.54;1;8.0;49.54;2026-06-12;15:55:52;Pix;31.93;35.55;17.61;3.8
INV-001250;B;Bauru;Não Filiada;Antialérgicos;Levocetirizina 5mg 10 comprimidos - Eurofarma;21.56;2;5.2;43.12;2026-06-02;08:01:32;Cartão de Crédito;25.03;41.95;18.09;4.6
INV-001251;A;Jaú;Não Filiada;Antialérgicos;Desloratadina 5mg 10 comprimidos - Eurofarma;21.91;1;11.3;21.91;2026-05-03;12:54:07;Cartão de Crédito;12.06;44.96;9.85;4.6
INV-001252;A;Jaú;Não Filiada;Antialérgicos;Allegra 120mg 10 comprimidos - Sanofi;47.86;1;5.2;47.86;2026-06-27;13:34:20;Cartão de Crédito;34.97;26.93;12.89;4.8
INV-001253;A;Jaú;Não Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;12.64;1;7.5;12.64;2026-07-26;12:24:21;Pix;9.44;25.32;3.2;4.3
INV-001254;A;Araraquara;Não Filiada;Vitaminas e Suplementos;Vitamina C 1g 10 comprimidos efervescentes - Cimed;18.44;1;7.5;18.44;2026-05-03;14:09:12;Cartão de Crédito;13.78;25.27;4.66;4.7
INV-001255;A;São Carlos;Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - EMS;10.69;5;8.0;53.45;2026-05-02;19:23:42;Cartão de Crédito;39.93;25.29;13.52;4.1
INV-001256;A;São Carlos;Não Filiada;Analgésicos;Dipirona 500mg 10 comprimidos - Neo Química;9.87;1;12.5;9.87;2026-07-31;17:16:33;Cartão de Débito;5.36;45.69;4.51;3.8
INV-001257;A;Araraquara;Não Filiada;Vitaminas e Suplementos;Centrum Adultos 30 comprimidos - Haleon;44.32;1;12.5;44.32;2026-05-06;10:40:03;Cartão de Débito;25.71;41.99;18.61;5.0
INV-001258;B;Araraquara;Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - Neo Química;13.23;2;7.5;26.46;2026-07-25;13:42:16;Cartão de Débito;15.98;39.61;10.48;5.0
INV-001259;B;Bauru;Filiada;Gripe e Tosse;Cimegripe 4 cápsulas - Cimed;8.23;1;11.3;8.23;2026-05-20;13:05:28;Cartão de Crédito;6.07;26.25;2.16;5.0
INV-001260;A;Jaú;Não Filiada;Analgésicos;Neosaldina 30 comprimidos - Takeda;18.88;2;11.3;37.76;2026-07-24;15:59:20;Cartão de Crédito;19.71;47.8;18.05;4.2
INV-001261;B;São Carlos;Não Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - Neo Química;6.56;3;6.0;19.68;2026-07-07;17:35:02;Pix;12.07;38.67;7.61;3.7
INV-001262;A;São Carlos;Não Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - EMS;15.7;1;4.5;15.7;2026-06-22;12:40:39;Pix;8.76;44.2;6.94;4.4
INV-001263;A;Bauru;Não Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;16.43;1;10.2;16.43;2026-07-01;18:01:14;Dinheiro;10.35;37.01;6.08;4.5
INV-001264;A;Bauru;Filiada;Dermatológicos;Bepantol Derma 20g - Bayer;24.92;1;8.0;24.92;2026-07-31;12:30:34;Dinheiro;18.17;27.09;6.75;4.6
INV-001265;A;Jaú;Filiada;Gripe e Tosse;Vick VapoRub 30g - Kenvue;25.04;1;7.5;25.04;2026-07-19;14:21:22;Pix;14.84;40.73;10.2;5.0
INV-001266;A;Araraquara;Filiada;Antibióticos;Amoxicilina 500mg 21 cápsulas - Eurofarma;34.93;3;12.5;104.79;2026-07-04;19:29:37;Cartão de Crédito;78.07;25.5;26.72;4.6
INV-001267;B;Bauru;Filiada;Gripe e Tosse;Benegrip 6 comprimidos - Hyper Pharma;12.47;1;5.2;12.47;2026-06-13;20:24:09;Cartão de Débito;6.6;47.07;5.87;4.1
INV-001268;A;Jaú;Não Filiada;Antialérgicos;Desloratadina 5mg 10 comprimidos - Eurofarma;24.71;6;7.5;148.26;2026-07-25;13:33:44;Pix;105.1;29.11;43.16;4.1
INV-001269;B;Bauru;Não Filiada;Diabetes;Metformina 850mg 30 comprimidos - EMS;13.3;2;8.0;26.6;2026-05-09;14:49:18;Cartão de Débito;16.9;36.47;9.7;4.3
INV-001270;A;Bauru;Não Filiada;Vitaminas e Suplementos;Vitamina C 1g 10 comprimidos efervescentes - Cimed;18.81;4;9.5;75.24;2026-05-05;12:41:22;Cartão de Crédito;42.77;43.16;32.47;4.6
INV-001271;B;Jaú;Não Filiada;Dermatológicos;Nebacetin 15g - Johnson & Johnson;23.6;3;7.5;70.8;2026-05-22;11:28:13;Pix;38.9;45.06;31.9;4.0
INV-001272;A;Jaú;Filiada;Gripe e Tosse;Naldecon Noite 4 comprimidos - Reckitt;14.21;5;4.5;71.05;2026-05-31;17:38:31;Cartão de Crédito;41.46;41.65;29.59;5.0
INV-001273;B;Bauru;Filiada;Dermatológicos;Nebacetin 15g - Johnson & Johnson;18.94;2;5.2;37.88;2026-06-05;08:00:50;Dinheiro;25.89;31.65;11.99;3.4
INV-001274;B;São Carlos;Não Filiada;Diabetes;Metformina 850mg 30 comprimidos - Prati-Donaduzzi;16.93;1;11.3;16.93;2026-05-27;18:07:33;Cartão de Crédito;10.49;38.04;6.44;3.8
INV-001275;A;Jaú;Não Filiada;Analgésicos;Dipirona 500mg 20 comprimidos - Medley;18.21;3;9.5;54.63;2026-05-13;18:59:21;Pix;29.04;46.84;25.59;4.2
INV-001276;A;Jaú;Não Filiada;Antibióticos;Amoxicilina 500mg 21 cápsulas - Eurofarma;17.82;1;4.5;17.82;2026-07-22;15:07:00;Cartão de Crédito;9.3;47.81;8.52;3.8
INV-001277;A;Jaú;Filiada;Gripe e Tosse;Naldecon Noite 4 comprimidos - Reckitt;14.21;1;5.2;14.21;2026-08-08;12:20:27;Cartão de Débito;7.44;47.64;6.77;3.4
INV-001278;A;São Carlos;Filiada;Analgésicos;Paracetamol 750mg 20 comprimidos - EMS;17.13;1;10.2;17.13;2026-07-19;11:55:53;Cartão de Crédito;10.16;40.69;6.97;4.3
INV-001279;B;Jaú;Não Filiada;Analgésicos;Paracetamol 500mg 20 comprimidos - Neo Química;7.22;1;8.0;7.22;2026-06-06;12:48:59;Cartão de Crédito;4.73;34.49;2.49;3.6
INV-001280;A;São Carlos;Não Filiada;Analgésicos;Paracetamol 750mg 20 comprimidos - EMS;17.77;1;10.2;17.77;2026-07-28;16:39:40;Pix;9.28;47.78;8.49;4.2
INV-001281;A;Bauru;Não Filiada;Vitaminas e Suplementos;Redoxon 10 comprimidos efervescentes - Bayer;18.99;2;4.5;37.98;2026-07-22;12:16:19;Cartão de Crédito;22.99;39.47;14.99;3.6
INV-001282;A;Araraquara;Filiada;Gastrointestinais;Omeprazol 20mg 28 cápsulas - EMS;9.0;1;6.0;9.0;2026-06-25;17:59:23;Cartão de Crédito;4.9;45.56;4.1;3.8
INV-001283;A;São Carlos;Não Filiada;Gripe e Tosse;Mucosolvan Xarope 100ml - Boehringer Ingelheim;26.08;1;5.2;26.08;2026-07-15;12:18:51;Cartão de Crédito;15.3;41.33;10.78;4.4
INV-001284;A;Bauru;Não Filiada;Analgésicos;Paracetamol 750mg 20 comprimidos - EMS;10.48;1;6.0;10.48;2026-06-22;11:18:21;Pix;7.21;31.2;3.27;3.9
INV-001285;C;Jaú;Não Filiada;Cardiovasculares;Atenolol 25mg 30 comprimidos - Prati-Donaduzzi;8.85;1;7.5;8.85;2026-07-10;16:10:21;Dinheiro;5.11;42.26;3.74;5.0
INV-001286;C;Bauru;Não Filiada;Antialérgicos;Histamin 2mg 20 comprimidos - Neo Química;8.42;2;7.5;16.84;2026-06-01;17:54:38;Pix;9.18;45.49;7.66;5.0
INV-001287;A;São Carlos;Não Filiada;Antibióticos;Cefalexina 500mg 8 cápsulas - EMS;19.89;1;8.0;19.89;2026-08-06;17:49:20;Cartão de Crédito;11.85;40.42;8.04;4.1
INV-001288;B;Bauru;Filiada;Cardiovasculares;Losartana 50mg 30 comprimidos - Medley;12.33;1;4.5;12.33;2026-05-11;10:30:38;Cartão de Crédito;7.07;42.66;5.26;4.7
INV-001289;A;Araraquara;Não Filiada;Analgésicos;Buscopan 10mg 20 comprimidos - Boehringer Ingelheim;23.99;1;7.5;23.99;2026-07-19;18:55:13;Pix;12.9;46.23;11.09;4.2
INV-001290;A;Araraquara;Filiada;Vitaminas e Suplementos;Neutrofer 30 comprimidos - Marjan;25.24;2;7.5;50.48;2026-05-11;13:46:09;Cartão de Crédito;32.62;35.38;17.86;4.1
INV-001291;A;São Carlos;Filiada;Analgésicos;Tylenol 750mg 20 comprimidos - Kenvue;27.83;2;7.5;55.66;2026-07-25;15:29:27;Pix;36.12;35.11;19.54;4.5
INV-001292;A;São Carlos;Filiada;Antialérgicos;Allegra 120mg 10 comprimidos - Sanofi;33.96;1;10.2;33.96;2026-06-02;20:17:49;Cartão de Crédito;22.96;32.39;11.0;4.0
INV-001293;B;São Carlos;Não Filiada;Analgésicos;Paracetamol 500mg 20 comprimidos - Neo Química;13.52;1;7.5;13.52;2026-06-19;16:54:04;Dinheiro;7.44;44.97;6.08;3.8
INV-001294;A;Bauru;Filiada;Analgésicos;Tylenol 750mg 20 comprimidos - Kenvue;19.33;1;6.0;19.33;2026-06-14;13:42:30;Cartão de Crédito;11.37;41.18;7.96;4.7
INV-001295;A;São Carlos;Filiada;Gripe e Tosse;Mucosolvan Xarope 100ml - Boehringer Ingelheim;20.47;1;5.2;20.47;2026-06-18;18:36:22;Pix;15.18;25.84;5.29;4.7
INV-001296;B;Bauru;Filiada;Gripe e Tosse;Benegrip 6 comprimidos - Hyper Pharma;11.91;2;7.5;23.82;2026-05-09;22:43:54;Cartão de Débito;16.22;31.91;7.6;4.3
INV-001297;A;Bauru;Não Filiada;Gripe e Tosse;Benegrip Multi 20 comprimidos - Hyper Pharma;16.28;1;10.2;16.28;2026-07-15;12:57:55;Pix;12.35;24.14;3.93;3.8
INV-001298;A;Bauru;Filiada;Gripe e Tosse;Vick VapoRub 30g - Kenvue;28.72;2;5.2;57.44;2026-06-28;15:40:59;Pix;40.63;29.27;16.81;4.5
INV-001299;C;Bauru;Filiada;Gastrointestinais;Estomazil 2 sachês - Hypera;9.79;3;6.0;29.37;2026-05-11;18:45:56;Pix;17.32;41.03;12.05;3.8
INV-001300;A;Araraquara;Não Filiada;Gastrointestinais;Omeprazol 20mg 28 cápsulas - Medley;9.05;2;8.0;18.1;2026-05-04;16:17:58;Cartão de Crédito;12.36;31.71;5.74;4.2
INV-001301;A;Bauru;Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - EMS;10.5;1;5.2;10.5;2026-06-15;11:29:30;Cartão de Crédito;6.74;35.81;3.76;3.4
INV-001302;A;Araraquara;Não Filiada;Analgésicos;Ibuprofeno 600mg 20 comprimidos - Medley;28.7;2;7.5;57.4;2026-05-16;08:27:04;Cartão de Crédito;33.49;41.66;23.91;4.3
INV-001303;C;Bauru;Não Filiada;Cardiovasculares;Atenolol 25mg 30 comprimidos - Prati-Donaduzzi;9.61;1;4.5;9.61;2026-08-09;14:30:27;Pix;5.87;38.92;3.74;4.1
INV-001304;A;Araraquara;Filiada;Analgésicos;Tylenol 750mg 20 comprimidos - Kenvue;18.2;1;10.2;18.2;2026-08-12;18:33:54;Pix;10.67;41.37;7.53;4.8
INV-001305;A;Jaú;Não Filiada;Vitaminas e Suplementos;Lavitan A-Z 60 comprimidos - Cimed;34.45;1;10.2;34.45;2026-07-11;14:18:55;Pix;22.67;34.19;11.78;3.8
INV-001306;C;Bauru;Filiada;Cardiovasculares;Enalapril 10mg 30 comprimidos - Medley;11.58;2;12.5;23.16;2026-07-31;15:35:33;Cartão de Débito;15.39;33.55;7.77;4.5
INV-001307;A;Jaú;Não Filiada;Gripe e Tosse;Mucosolvan Xarope 100ml - Boehringer Ingelheim;24.7;1;7.5;24.7;2026-06-29;18:39:51;Pix;14.9;39.68;9.8;4.2
INV-001308;A;São Carlos;Filiada;Antibióticos;Cefalexina 500mg 8 cápsulas - EMS;25.0;2;6.0;50.0;2026-06-01;15:07:30;Cartão de Débito;33.89;32.22;16.11;4.4
INV-001309;A;São Carlos;Filiada;Vitaminas e Suplementos;Redoxon 10 comprimidos efervescentes - Bayer;30.25;1;12.5;30.25;2026-05-19;17:07:27;Cartão de Crédito;20.27;32.99;9.98;3.4
INV-001310;A;Bauru;Não Filiada;Antibióticos;Amoxicilina 500mg 21 cápsulas - Eurofarma;32.15;1;10.2;32.15;2026-05-23;13:50:01;Pix;24.03;25.26;8.12;4.0
INV-001311;C;Araraquara;Não Filiada;Gastrointestinais;Estomazil 2 sachês - Hypera;7.0;1;8.0;7.0;2026-07-11;14:46:15;Cartão de Crédito;5.18;26.0;1.82;4.6
INV-001312;A;Bauru;Não Filiada;Gripe e Tosse;Fluimucil 600mg 16 sachês - Zambon;42.63;2;7.5;85.26;2026-08-04;14:47:26;Pix;64.13;24.78;21.13;4.6
INV-001313;B;Jaú;Não Filiada;Antialérgicos;Levocetirizina 5mg 10 comprimidos - Eurofarma;18.71;2;6.0;37.42;2026-07-30;21:30:05;Cartão de Crédito;25.9;30.79;11.52;3.7
INV-001314;B;Bauru;Filiada;Cardiovasculares;Sinvastatina 20mg 30 comprimidos - EMS;8.14;2;6.0;16.28;2026-06-06;20:30:14;Cartão de Crédito;12.26;24.69;4.02;4.2
INV-001315;C;Jaú;Filiada;Gastrointestinais;Estomazil 2 sachês - Hypera;9.86;1;12.5;9.86;2026-05-03;18:42:38;Pix;6.62;32.86;3.24;3.7
INV-001316;A;Jaú;Não Filiada;Antialérgicos;Allegra 120mg 10 comprimidos - Sanofi;32.66;1;4.5;32.66;2026-07-06;11:32:42;Pix;20.94;35.88;11.72;5.0
INV-001317;A;Jaú;Não Filiada;Analgésicos;Dipirona 500mg 20 comprimidos - Medley;18.48;1;6.0;18.48;2026-06-06;13:06:14;Pix;12.93;30.03;5.55;4.5
INV-001318;A;Araraquara;Filiada;Vitaminas e Suplementos;Lavitan A-Z 60 comprimidos - Cimed;20.06;2;9.5;40.12;2026-05-03;12:50:35;Pix;27.0;32.7;13.12;4.0
INV-001319;B;Bauru;Não Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - Neo Química;9.95;2;7.5;19.9;2026-05-01;17:28:12;Cartão de Débito;11.49;42.26;8.41;3.9
INV-001320;B;Bauru;Não Filiada;Antialérgicos;Levocetirizina 5mg 10 comprimidos - Eurofarma;9.35;2;5.2;18.7;2026-06-15;13:08:10;Cartão de Crédito;9.73;47.97;8.97;4.7
INV-001321;A;Bauru;Filiada;Analgésicos;Paracetamol 750mg 20 comprimidos - EMS;18.0;6;6.0;108.0;2026-07-06;09:49:45;Cartão de Débito;79.14;26.72;28.86;4.8
INV-001322;A;Araraquara;Não Filiada;Analgésicos;Dorflex 30 comprimidos - Sanofi;32.32;4;9.5;129.28;2026-08-13;14:37:06;Cartão de Débito;89.47;30.79;39.81;4.9
INV-001323;A;Jaú;Filiada;Analgésicos;Dorflex 30 comprimidos - Sanofi;35.48;4;5.2;141.92;2026-05-20;15:54:58;Pix;103.38;27.16;38.54;4.0
INV-001324;A;Araraquara;Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;11.05;1;7.5;11.05;2026-06-09;14:19:26;Cartão de Débito;6.97;36.92;4.08;3.3
INV-001325;B;Bauru;Não Filiada;Gripe e Tosse;Cimegripe 4 cápsulas - Cimed;6.25;2;5.2;12.5;2026-07-02;08:49:01;Pix;7.59;39.28;4.91;4.0
INV-001326;A;São Carlos;Não Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - EMS;14.05;1;6.0;14.05;2026-06-06;19:28:41;Cartão de Crédito;9.78;30.39;4.27;4.2
INV-001327;C;Jaú;Não Filiada;Antialérgicos;Histamin 2mg 20 comprimidos - Neo Química;8.33;2;6.0;16.66;2026-05-17;19:29:35;Cartão de Crédito;9.61;42.32;7.05;4.9
INV-001328;A;Araraquara;Filiada;Gripe e Tosse;Fluimucil 600mg 16 sachês - Zambon;48.22;1;4.5;48.22;2026-05-20;13:06:56;Pix;26.79;44.44;21.43;5.0
INV-001329;A;São Carlos;Não Filiada;Cardiovasculares;Losartana 50mg 30 comprimidos - EMS;13.45;2;11.3;26.9;2026-06-21;18:32:52;Cartão de Crédito;15.47;42.49;11.43;5.0
INV-001330;B;Araraquara;Não Filiada;Gripe e Tosse;Benegrip 6 comprimidos - Hyper Pharma;10.18;1;12.5;10.18;2026-05-01;20:29:51;Pix;6.22;38.9;3.96;4.8
INV-001331;A;Araraquara;Filiada;Analgésicos;Dorflex 30 comprimidos - Sanofi;27.0;1;6.0;27.0;2026-07-26;14:46:18;Cartão de Débito;14.35;46.85;12.65;3.6
INV-001332;A;Araraquara;Não Filiada;Analgésicos;Tylenol 750mg 20 comprimidos - Kenvue;20.25;1;6.0;20.25;2026-07-01;18:30:58;Cartão de Débito;12.56;37.98;7.69;4.2
INV-001333;C;Jaú;Não Filiada;Gastrointestinais;Simeticona 40mg 20 comprimidos - Cimed;7.2;1;11.3;7.2;2026-07-24;19:21:21;Cartão de Débito;4.56;36.67;2.64;4.4
INV-001334;B;Jaú;Não Filiada;Analgésicos;Paracetamol 500mg 20 comprimidos - Neo Química;14.62;1;6.0;14.62;2026-05-19;15:12:32;Cartão de Crédito;9.98;31.74;4.64;3.7
INV-001335;A;Jaú;Filiada;Antibióticos;Amoxicilina 500mg 21 cápsulas - Eurofarma;32.98;3;6.0;98.94;2026-05-22;17:48:53;Cartão de Débito;58.51;40.86;40.43;4.6
INV-001336;A;Jaú;Não Filiada;Analgésicos;Dorflex 30 comprimidos - Sanofi;24.53;2;10.2;49.06;2026-06-05;14:07:16;Cartão de Crédito;28.26;42.4;20.8;5.0
INV-001337;A;São Carlos;Não Filiada;Cardiovasculares;Losartana 50mg 30 comprimidos - EMS;10.61;1;5.2;10.61;2026-07-31;13:42:30;Pix;7.77;26.77;2.84;4.0
INV-001338;C;Bauru;Filiada;Antialérgicos;Histamin 2mg 20 comprimidos - Neo Química;5.76;1;8.0;5.76;2026-07-06;17:36:33;Cartão de Crédito;4.0;30.56;1.76;4.9
INV-001339;B;Bauru;Filiada;Dermatológicos;Nebacetin 15g - Johnson & Johnson;21.53;2;9.5;43.06;2026-07-19;13:13:22;Pix;23.55;45.31;19.51;5.0
INV-001340;A;Bauru;Não Filiada;Gastrointestinais;Omeprazol 20mg 28 cápsulas - Medley;17.23;1;7.5;17.23;2026-05-30;14:57:27;Pix;10.37;39.81;6.86;4.2
INV-001341;C;Bauru;Não Filiada;Diabetes;Gliclazida 30mg 30 comprimidos - Servier;17.73;1;5.2;17.73;2026-05-05;11:04:07;Dinheiro;10.7;39.65;7.03;4.5
INV-001342;B;Jaú;Não Filiada;Cardiovasculares;Sinvastatina 20mg 30 comprimidos - EMS;19.87;4;7.5;79.48;2026-06-13;11:46:23;Cartão de Débito;42.69;46.29;36.79;4.3
INV-001343;A;São Carlos;Filiada;Gripe e Tosse;Mucosolvan Xarope 100ml - Boehringer Ingelheim;35.31;2;10.2;70.62;2026-07-02;09:11:40;Cartão de Débito;51.72;26.76;18.9;4.0
INV-001344;B;Araraquara;Não Filiada;Diabetes;Metformina 850mg 30 comprimidos - EMS;13.81;1;12.5;13.81;2026-07-17;18:35:19;Pix;8.19;40.7;5.62;4.7
INV-001345;C;Jaú;Filiada;Cardiovasculares;Atenolol 25mg 30 comprimidos - Prati-Donaduzzi;7.26;2;11.3;14.52;2026-05-17;18:19:45;Pix;10.46;27.96;4.06;5.0
INV-001346;A;Araraquara;Filiada;Antibióticos;Cefalexina 500mg 8 cápsulas - EMS;30.11;1;10.2;30.11;2026-05-29;20:16:48;Cartão de Crédito;21.88;27.33;8.23;4.9
INV-001347;A;São Carlos;Filiada;Analgésicos;Neosaldina 30 comprimidos - Takeda;20.26;3;7.5;60.78;2026-06-11;13:57:53;Cartão de Crédito;35.42;41.72;25.36;4.2
INV-001348;C;Araraquara;Filiada;Antialérgicos;Histamin 2mg 20 comprimidos - Neo Química;11.87;1;7.5;11.87;2026-05-26;11:54:05;Dinheiro;7.56;36.31;4.31;3.6
INV-001349;A;Araraquara;Não Filiada;Analgésicos;Dorflex 10 comprimidos - Sanofi;17.65;4;6.0;70.6;2026-07-18;13:39:39;Dinheiro;45.03;36.22;25.57;4.0
INV-001350;A;Jaú;Não Filiada;Analgésicos;Dipirona 500mg 10 comprimidos - Neo Química;12.08;6;7.5;72.48;2026-06-04;17:20:43;Pix;41.68;42.49;30.8;4.6
INV-001351;A;São Carlos;Não Filiada;Gripe e Tosse;Mucosolvan Xarope 100ml - Boehringer Ingelheim;31.5;3;8.0;94.5;2026-07-12;15:39:40;Dinheiro;60.15;36.35;34.35;4.2
INV-001352;A;São Carlos;Filiada;Analgésicos;Neosaldina 30 comprimidos - Takeda;24.93;1;7.5;24.93;2026-07-07;19:44:49;Cartão de Débito;18.66;25.15;6.27;4.8
INV-001353;C;São Carlos;Filiada;Cardiovasculares;Atenolol 25mg 30 comprimidos - Prati-Donaduzzi;10.81;2;10.2;21.62;2026-07-29;14:27:58;Dinheiro;15.2;29.69;6.42;4.2
INV-001354;A;São Carlos;Não Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - EMS;14.49;4;7.5;57.96;2026-05-27;18:43:18;Dinheiro;41.85;27.8;16.11;3.8
INV-001355;A;Bauru;Filiada;Gripe e Tosse;Naldecon Dia 4 comprimidos - Reckitt;16.03;1;4.5;16.03;2026-05-01;19:58:59;Cartão de Crédito;10.78;32.75;5.25;3.1
INV-001356;A;São Carlos;Não Filiada;Gripe e Tosse;Mucosolvan Xarope 100ml - Boehringer Ingelheim;23.87;2;10.2;47.74;2026-05-03;11:11:11;Pix;30.15;36.85;17.59;4.9
INV-001357;A;Araraquara;Filiada;Gripe e Tosse;Vick Pyrena 5 sachês - Kenvue;14.23;1;8.0;14.23;2026-07-09;15:41:50;Cartão de Crédito;8.03;43.57;6.2;4.7
INV-001358;B;Araraquara;Filiada;Gripe e Tosse;Benegrip 6 comprimidos - Hyper Pharma;9.33;1;8.0;9.33;2026-07-25;17:47:36;Pix;7.04;24.54;2.29;4.0
INV-001359;C;Araraquara;Não Filiada;Gastrointestinais;Simeticona 40mg 20 comprimidos - Cimed;7.79;3;7.5;23.37;2026-05-15;14:59:53;Pix;12.85;45.01;10.52;4.7
INV-001360;C;Araraquara;Não Filiada;Cardiovasculares;Enalapril 10mg 30 comprimidos - Medley;12.01;1;9.5;12.01;2026-06-11;13:02:11;Cartão de Crédito;6.36;47.04;5.65;4.2
INV-001361;B;São Carlos;Não Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - Neo Química;10.47;2;6.0;20.94;2026-07-19;16:02:37;Cartão de Débito;10.95;47.71;9.99;5.0
INV-001362;B;Bauru;Filiada;Antialérgicos;Loratadina 10mg 12 comprimidos - Neo Química;12.93;2;4.5;25.86;2026-06-05;11:34:53;Cartão de Crédito;16.47;36.31;9.39;3.8
INV-001363;A;Jaú;Filiada;Dermatológicos;Bepantol Derma 20g - Bayer;30.65;1;9.5;30.65;2026-07-02;12:52:38;Cartão de Crédito;21.97;28.32;8.68;4.1
INV-001364;A;São Carlos;Não Filiada;Gripe e Tosse;Vick Pyrena 5 sachês - Kenvue;20.2;4;9.5;80.8;2026-07-22;16:05:48;Cartão de Crédito;51.28;36.53;29.52;4.2
